'AMGM',2
'Ackley01',2
'Ackley02',2
'Ackley03',2
'Adjiman',2
'Alpine01',2
'Alpine02',2
'BartelsConn',2
'Beale',2
'BiggsExp02',2
'BiggsExp03',3
'BiggsExp04',4
'BiggsExp05',5
'Bird',2
'Bohachevsky1',2
'Bohachevsky2',2
'Bohachevsky3',2
'BoxBetts',3
'Branin01',2
'Branin02',2
'Brent',2
'Brown',2
'Bukin02',2
'Bukin04',2
'Bukin06',2
'CarromTable',2
'Chichinadze',2
'Cigar',2
'Cola',17
'Colville',4
'Corana',4
'CosineMixture',2
'CrossInTray',2
'CrossLegTable',2
'CrownedCross',2
'Csendes',2
'Cube',2
'Damavandi',2
'DeVilliersGlasser01',4
'DeVilliersGlasser02',5
'Deb01',2
'Deb03',2
'Decanomial',2
'Deceptive',2
'DeckkersAarts',2
'DeflectedCorrugatedSpring',2
'DixonPrice',2
'Dolan',5
'DropWave',2
'Easom',2
'Eckerle4',3
'EggCrate',2
'EggHolder',2
'ElAttarVidyasagarDutta',2
'Exp2',2
'Exponential',2
'FreudensteinRoth',2
'Gear',4
'Giunta',2
'GoldsteinPrice',2
'Griewank',2
'Gulf',3
'Hansen',2
'Hartmann3',3
'Hartmann6',6
'HelicalValley',3
'HimmelBlau',2
'HolderTable',2
'Hosaki',2
'Infinity',2
'JennrichSampson',2
'Judge',2
'Katsuura',2
'Keane',2
'Kowalik',4
'Langermann',2
'LennardJones',0
'Leon',2
'Levy03',2
'Levy05',2
'Levy13',2
'Matyas',2
'McCormick',2
'Meyer',3
'Michalewicz',2
'MieleCantrell',4
'Mishra01',2
'Mishra02',2
'Mishra03',2
'Mishra04',2
'Mishra05',2
'Mishra06',2
'Mishra07',2
'Mishra08',2
'Mishra09',3
'Mishra10',2
'Mishra11',2
'MultiModal',2
'NeedleEye',2
'NewFunction01',2
'NewFunction02',2
'OddSquare',2
'Parsopoulos',2
'Pathological',2
'Paviani',10
'PenHolder',2
'Penalty01',2
'Penalty02',2
'PermFunction01',2
'PermFunction02',2
'Pinter',2
'Plateau',2
'Powell',4
'PowerSum',4
'Price01',2
'Price02',2
'Price03',2
'Price04',2
'Qing',2
'Quadratic',2
'Quintic',2
'Rana',2
'Rastrigin',2
'Ratkowsky01',4
'Ratkowsky02',3
'Ripple01',2
'Ripple25',2
'Rosenbrock',2
'RosenbrockModified',2
'RotatedEllipse01',2
'RotatedEllipse02',2
'Salomon',2
'Sargan',2
'Schaffer01',2
'Schaffer02',2
'Schaffer03',2
'Schaffer04',2
'Schwefel01',2
'Schwefel02',2
'Schwefel04',2
'Schwefel06',2
'Schwefel20',2
'Schwefel21',2
'Schwefel22',2
'Schwefel26',2
'Schwefel36',2
'Shekel05',4
'Shekel07',4
'Shekel10',4
'Shubert01',2
'Shubert03',2
'Shubert04',2
'SineEnvelope',2
'SixHumpCamel',2
'Sodp',2
'Sphere',2
'Step',2
'Step2',2
'Stochastic',2
'StretchedV',2
'StyblinskiTang',2
'TestTubeHolder',2
'ThreeHumpCamel',2
'Thurber',7
'Treccani',2
'Trefethen',2
'Trid',6
'Trigonometric01',2
'Trigonometric02',2
'Tripod',2
'Ursem01',2
'Ursem03',2
'Ursem04',2
'UrsemWaves',2
'VenterSobiezcczanskiSobieski',2
'Vincent',2
'Watson',6
'Wavy',2
'WayburnSeader01',2
'WayburnSeader02',2
'Weierstrass',2
'Whitley',2
'Wolfe',3
'XinSheYang01',2
'XinSheYang02',2
'XinSheYang03',2
'XinSheYang04',2
'Xor',9
'YaoLiu04',2
'YaoLiu09',2
'Zacharov',2
'ZeroSum',2
'Zettl',2
'Zimmerman',2
'Zirilli',2
